Ten_Vot,Diem_Cong,Diem_Thu,Gia_Trieu,Phong_Cach,Nguon_Gia,Url_Gia
Yonex Astrox 99 Pro,10,4,4.5,Thiên Công Mạnh,Dữ liệu gốc,
Yonex Astrox 100ZZ,9.5,5,4.2,Thiên Công/Đũa Cứng,Dữ liệu gốc,
Yonex Astrox 88D Pro,9,6,4.5,Thiên Công Cầu Sau,Dữ liệu gốc,
Yonex Astrox 88S Pro,8,7.5,4.5,Công Thủ Toàn Diện/Bám Lưới,Dữ liệu gốc,
Yonex Astrox 77 Pro,7.5,7.5,3.5,Công Thủ Toàn Diện (Dễ đánh),Dữ liệu gốc,
Yonex Nanoflare 1000Z,4.5,10,4.5,Siêu Phản Tạt/Tốc Độ,Dữ liệu gốc,
Yonex Nanoflare 800,5,9.5,4.0,Phản Tạt/Tốc Độ,Dữ liệu gốc,
Yonex Nanoflare 700,4,9,3.8,Phản Tạt/Thủ (Dẻo),Dữ liệu gốc,
Yonex Arcsaber 11 Pro,7,8,4.1,Kiểm Soát/Điều Cầu,Dữ liệu gốc,
Yonex Arcsaber 7 Pro,6.5,8.5,3.7,Kiểm Soát/Thủ,Dữ liệu gốc,
Yonex Voltric Z-Force II,10,3,3.5,Thiên Công Cực Đoan,Dữ liệu gốc,
Lining Axforce 90 Max,10,4,4.2,Thiên Công Bạo Lực,Dữ liệu gốc,
Lining Axforce 80,9,5,3.6,Thiên Công,Dữ liệu gốc,
Lining Tectonic 9,9.5,4.5,4.0,Thiên Công,Dữ liệu gốc,
Lining Tectonic 7C,8.5,6,3.5,Thiên Công,Dữ liệu gốc,
Lining Halbertec 8000,7,8,3.8,Kiểm Soát/Toàn Diện,Dữ liệu gốc,
Lining Aeronaut 9000C,8,7,3.8,Công Thủ Toàn Diện,Dữ liệu gốc,
Lining Aeronaut 4000B,9,7,1.5, Thiên Công,Dữ liệu gốc,
Lining Calibar 900C,9,5,3.7,Thiên Công,Dữ liệu gốc,
Victor Thruster Ryuga II,9.5,5,3.5,Thiên Công (Lee Zii Jia),Dữ liệu gốc,
Victor Thruster F Claw,8,7,3.5,Công Thủ Toàn Diện (Tai Tzu Ying),Dữ liệu gốc,
Victor Bravesword 12,5,9.5,3.0,Huyền Thoại Phản Tạt,Dữ liệu gốc,
Victor Auraspeed 100X,5,9.5,3.8,Phản Tạt/Tốc Độ Nhanh,Dữ liệu gốc,
Victor DriveX 9X,7,8,3.2,Công Thủ Toàn Diện,Dữ liệu gốc,
Mizuno Fortius 10 Quick,8.5,7,3.5,Thiên Công Tốc Độ,Dữ liệu gốc,
Mizuno JPX Reserve Edition,7.5,7.5,4.0,Công Thủ Toàn Diện,Dữ liệu gốc,
Kumpoo K520 Pro,6,6.5,0.6,Dễ Đánh/Người Mới Chơi,Dữ liệu gốc,
Apacs Z-Ziggler,8,5,0.9,Thiên Công Giá Rẻ,Dữ liệu gốc,
Apacs Tantrum 200,7,7,1.2,Công Thủ Toàn Diện (Siêu Bền),Dữ liệu gốc,
VNB V88,8.5,4.5,0.7,Thiên Công Giá Rẻ,Dữ liệu gốc,
Kamito Archery 1,6,6,0.8,Dễ Đánh/Người Mới Chơi,Dữ liệu gốc,
Felet Woven TJ 1000,8,6.5,1.5,Tầm Trung Toàn Diện,Dữ liệu gốc,
Proace Stroke 318,5,6,0.7,Bền Bỉ/Người Mới Chơi,Dữ liệu gốc,
The 3rd Game Black Panther,8.5,6.5,1.6,Thiên Công Tầm Trung,Dữ liệu gốc,
VS Kirin 80,7,7,1.1,Công Thủ Toàn Diện Giá Rẻ,Dữ liệu gốc,
VS Titan 1000,8,6,1.0,Thiên Công Giá Rẻ,Dữ liệu gốc,
Yonex Astrox 88 D Game,8.5,6,1.969,Thiên Công Cầu Sau,VNB 2026-09-23,https://shopvnb.com/vot-cau-long-yonex-astrox-88d-game-2024.html
Yonex Astrox 88 S Game,7.5,7.5,2.089,Công Thủ/Đánh Lưới,VNB 2026-09-23,https://shopvnb.com/vot-cau-long-yonex-astrox-88s-game-2024.html
Yonex Astrox 88 Play,7,7,1.399,Công Thủ Dễ Làm Quen,VNB 2026-09-23,https://shopvnb.com/vot-cau-long-yonex-astrox-88-play-2024.html
Yonex Astrox 77 Play,7,7,1.119,Công Thủ Dễ Làm Quen,VNB 2026-09-23,https://shopvnb.com/vot-cau-long-yonex-astrox-77-play-chinh-hang.html
Yonex Arcsaber 11 Play,6.5,7.5,,Kiểm Soát Dễ Làm Quen,,
Yonex Arcsaber 7 Play,6,8,,Kiểm Soát/Thủ,,
Yonex Arcsaber 7 Tour,6.5,8.5,,Kiểm Soát/Thủ,,
Yonex Nanoflare 700 Play,4.5,8.5,1.399,Tốc Độ/Phản Tạt,VNB 2026-09-23,https://shopvnb.com/vot-cau-long-yonex-nanoflare-700-play.html
Yonex Nanoflare 700 Game,5,9,1.989,Tốc Độ/Phản Tạt,VNB 2026-09-23,https://shopvnb.com/vot-cau-long-yonex-nanoflare-700-game.html
Yonex Nanoflare 800 Play,5,9,,Tốc Độ Dễ Làm Quen,,
Yonex Nanoflare 800 Tour,5.5,9,,Tốc Độ/Phản Tạt,,
Yonex Nanoflare 1000 Play,5,9.5,,Tốc Độ/Phản Tạt,,
Victor Auraspeed 90K II,7,9,,Tốc Độ/Công Thủ,,
Victor Thruster HMR Light J,7.5,7,,Thiên Công Dễ Làm Quen,,
